	Word	Frequency in Positive	Conditional of P(wi/positive)	Frequency in Negative	Conditional of P(wi/negative)
369	egg	2.6	0.00022326412145568208	1.6	0.00023822285748317554
370	receptionist	1.6	0.00013739330551118897	2.6	0.0003871121434101602
371	an	2.6	0.00022326412145568208	1.6	0.00023822285748317554
372	bad.	1.6	0.00013739330551118897	2.6	0.0003871121434101602
373	others	2.6	0.00022326412145568208	2.6	0.0003871121434101602
374	simultaneously	2.6	0.00022326412145568208	1.6	0.00023822285748317554
375	together-	2.6	0.00022326412145568208	1.6	0.00023822285748317554
376	with	1.6	0.00013739330551118897	2.6	0.0003871121434101602
377	wants	6.6	0.0005667473852336545	1.6	0.00023822285748317554
378	worried	1.6	0.00013739330551118897	2.6	0.0003871121434101602
379	soon	1.6	0.00013739330551118897	2.6	0.0003871121434101602
380	upset	4.6	0.00039500575334466825	3.6	0.000536001429337145
381	properly.	2.6	0.00022326412145568208	1.6	0.00023822285748317554
382	absurd	1.6	0.00013739330551118897	3.6	0.000536001429337145
383	share	3.6	0.0003091349374001752	1.6	0.00023822285748317554
384	regretting	2.6	0.00022326412145568208	1.6	0.00023822285748317554
385	hears	6.6	0.0005667473852336545	1.6	0.00023822285748317554
386	uncertain	2.6	0.00022326412145568208	1.6	0.00023822285748317554
387	cracking	2.6	0.00022326412145568208	1.6	0.00023822285748317554
388	sholes	2.6	0.00022326412145568208	1.6	0.00023822285748317554
389	s2	2.6	0.00022326412145568208	1.6	0.00023822285748317554
390	aftermath	1.6	0.00013739330551118897	2.6	0.0003871121434101602
391	humor.	2.6	0.00022326412145568208	1.6	0.00023822285748317554
392	nuts	2.6	0.00022326412145568208	4.6	0.0006848907152641296
393	dumb	1.6	0.00013739330551118897	2.6	0.0003871121434101602
394	perry	7.6	0.0006526182011781476	5.6	0.0008337800011911143
395	school	4.6	0.00039500575334466825	1.6	0.00023822285748317554
396	certainly	3.6	0.0003091349374001752	1.6	0.00023822285748317554
397	off	6.6	0.0005667473852336545	7.6	0.0011315585730450838
398	sitcoms	2.6	0.00022326412145568208	1.6	0.00023822285748317554
399	official	2.6	0.00022326412145568208	1.6	0.00023822285748317554
400	base	1.6	0.00013739330551118897	2.6	0.0003871121434101602
